timestamp,input_type,input_summary,prediction,confidence,reason,pipeline_used
2026-04-07 04:10:57,image,C:\Users\Praise\AppData\Local\Temp\tmpcqbjq1lo.jpeg,GENUINE,82.1%,GENUINE: Image compression: 0.055 bytes/pixel; Brightness variation: 29.2,screenshot
2026-04-07 04:11:57,image,C:\Users\Praise\AppData\Local\Temp\tmpdapkxz86.png,FAKE,98.8%,FAKE: Image compression: 0.218 bytes/pixel; Brightness variation: 85.7,screenshot
2026-04-07 04:12:22,image,C:\Users\Praise\AppData\Local\Temp\tmpvr4970co.jpeg,FAKE,75.7%,FAKE: Image compression: 0.093 bytes/pixel; Brightness variation: 75.9,screenshot
2026-04-07 04:12:34,image,C:\Users\Praise\AppData\Local\Temp\tmpgq7tls2p.jpeg,FAKE,70.2%,FAKE: Image compression: 0.093 bytes/pixel; Brightness variation: 70.0,screenshot
2026-04-07 04:12:48,image,C:\Users\Praise\AppData\Local\Temp\tmpa5u0nsr6.jpeg,FAKE,70.9%,FAKE: Image compression: 0.076 bytes/pixel; Brightness variation: 79.5,screenshot
2026-04-07 04:13:04,image,C:\Users\Praise\AppData\Local\Temp\tmpklzqwrkr.png,FAKE,98.8%,FAKE: Image compression: 0.217 bytes/pixel; Brightness variation: 85.7,screenshot
2026-04-07 04:13:25,image,C:\Users\Praise\AppData\Local\Temp\tmplq0d38v3.png,FAKE,99.5%,FAKE: Image compression: 0.261 bytes/pixel; Brightness variation: 84.0,screenshot
2026-04-07 04:13:42,image,C:\Users\Praise\AppData\Local\Temp\tmpq8ld3_q7.jpeg,GENUINE,63.3%,GENUINE: Image compression: 0.062 bytes/pixel; Brightness variation: 70.4,screenshot
2026-04-07 04:13:58,image,C:\Users\Praise\AppData\Local\Temp\tmph9kkwt6y.jpeg,FAKE,96.4%,FAKE: Image compression: 0.186 bytes/pixel; Brightness variation: 73.6,screenshot
2026-04-07 04:14:12,image,C:\Users\Praise\AppData\Local\Temp\tmp4pw1do5y.jpeg,GENUINE,66.9%,GENUINE: Image compression: 0.059 bytes/pixel; Brightness variation: 68.4,screenshot
2026-04-07 04:14:40,image,C:\Users\Praise\AppData\Local\Temp\tmpi7o25e3i.jpeg,GENUINE,77.9%,GENUINE: Image compression: 0.058 bytes/pixel; Brightness variation: 46.0,screenshot
2026-04-07 04:14:59,image,C:\Users\Praise\AppData\Local\Temp\tmpjv5yjftc.png,FAKE,98.7%,FAKE: Image compression: 0.227 bytes/pixel; Brightness variation: 79.2,screenshot
2026-04-14 18:12:50,image,C:\Users\Praise\AppData\Local\Temp\tmpq8bxbb4s.png,FAKE,98.5%,FAKE: Image compression: 0.224 bytes/pixel; Brightness variation: 78.6,screenshot
2026-04-19 17:01:35,image,C:\Users\Praise\AppData\Local\Temp\tmpe3tzxylg.png,FAKE,98.5%,FAKE: Image compression: 0.224 bytes/pixel; Brightness variation: 78.6,screenshot
